exon_id,filename_of_origin,nmd_classification
exon:chr10:128859932-128860040:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:129913192-129914271:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:135203094-135203251:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Inclusion causes NMD (annotated)
exon:chr10:13633768-13633888:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:14876216-14876332:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:14876216-14876332:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:14923499-14923644:+,ipsc_only_regression_targets.csv,Exclusion causes NMD (annotated)
exon:chr10:14923499-14923644:+,ipsc_npc_mn_regression_targets.csv,Exclusion causes NMD (annotated)
exon:chr10:15824101-15824225:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:16737022-16737154:-,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:17258831-17258964:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:18947148-18947426:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:27060004-27060018:-,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:27368961-27369082:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:27368961-27369082:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr10:27470409-27470510:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:28884662-28884970:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:31253332-31253508:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:31273298-31273355:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:31273298-31273355:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:35437296-35437419:+,correlated_actual_filtered_targets.csv,Exclusion causes NMD (found stop codon)
exon:chr10:35490379-35490414:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exclusion causes NMD (found stop codon)
exon:chr10:35490379-35490414:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exclusion causes NMD (found stop codon)
exon:chr10:35500182-35500317:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr10:42862954-42863175:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:42862954-42863175:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:43046848-43046910:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr10:43046848-43046910:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:43132368-43132420:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:43297436-43297666:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr10:43297436-43297666:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:44143141-44143334:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:46272721-46272873:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:4883977-4884032:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:4883977-4884032:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:49516138-49516331:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:51886920-51886982:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:51958061-51958129:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:51958061-51958129:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:52387180-52387369:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:5944983-5945138:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:69665920-69666044:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:73983646-73983814:+,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:74520309-74520430:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:74520309-74520430:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:74803645-74803715:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:75264567-75264669:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:75612950-75613004:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:75872571-75872691:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:75872571-75872691:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr10:76285014-76285184:+,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:7825044-7825138:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:7825044-7825138:-,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:7825044-7825138:-,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:7848937-7848973:+,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:79799962-79799983:+,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:82222844-82222883:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:82222844-82222883:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:88935646-88935852:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:95451766-95451850:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:96316936-96316979:+,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:97890461-97890509:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr10:97890461-97890509:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:97890461-97890579:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr10:98703870-98704002:+,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr10:98703870-98704002:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:99239998-99240114:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:99915850-99915904:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr10:99915850-99915904:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr10:99922640-99922732:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:99946224-99946320:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr10:99971064-99971105:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:111608172-111608293:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:111945611-111945640:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:111956702-111957034:-,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:111956702-111957034:-,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:112100931-112100953:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exclusion causes NMD (annotated)
exon:chr11:112100931-112100953:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exclusion causes NMD (annotated)
exon:chr11:113699566-113699642:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:118968155-118968261:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:118968155-118968261:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:120906442-120906653:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:124648900-124649035:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:124648946-124649035:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:124648946-124649035:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:125497502-125497725:+,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:126099120-126099188:+,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:126099120-126099188:+,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:12986655-12986761:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:12986655-12986761:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:12986655-12986765:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:12986655-12986765:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:13007587-13007691:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:13007587-13007691:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:13376773-13376843:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:13376773-13376843:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:13466571-13466728:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:13466571-13466728:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:14911978-14912015:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:14911978-14912015:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:17122825-17122981:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:17158029-17158172:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:18025988-18026082:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:18320339-18320517:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:2937439-2937644:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:31451030-31451153:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:31477807-31477933:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:31484719-31484852:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:31484719-31484852:-,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:33752970-33753014:-,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:3382973-3383119:-,ipsc_npc_mn_regression_targets.csv,Inclusion causes NMD (annotated)
exon:chr11:3383027-3383119:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:3383027-3383119:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:33891887-33892115:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:3390587-3390624:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:3390587-3390624:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:3390587-3390732:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:3390587-3390732:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:3394807-3394905:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:3420342-3420580:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:3427726-3427790:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:3427726-3427790:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:3427726-3427840:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:423942-424187:-,UPF1_HepG2_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:423942-424187:-,UPF1_HepG2_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:428088-428229:-,UPF1_HepG2_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:428088-428247:-,UPF1_HepG2_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:428088-428247:-,UPF1_HepG2_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:45947590-45947702:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:46292116-46292252:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:46781902-46781925:-,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:47521005-47521156:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:47522413-47522484:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:47522413-47522484:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:47591252-47591443:+,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:47657097-47657123:-,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:50279538-50279677:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:50279538-50279761:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:504824-504996:-,UPF1_HepG2_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:533277-533353:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:533277-533353:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:533277-533358:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Inclusion causes NMD (annotated)
exon:chr11:533277-533358:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Inclusion causes NMD (annotated)
exon:chr11:5464134-5464263:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:5472224-5472278:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:5472224-5472278:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:5476296-5476400:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:567797-567853:-,UPF1_HepG2_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:567797-567853:-,UPF1_HepG2_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:5687211-5687311:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:5688919-5688941:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:57449929-57450015:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:57449929-57450015:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:57505385-57505498:+,ipsc_npc_mn_regression_targets.csv,Inclusion causes NMD (found stop codon)
exon:chr11:57561482-57561553:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:59402893-59403005:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:59402893-59403005:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:59402893-59403009:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:59402893-59403009:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:59992438-59992566:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Inclusion causes NMD (found stop codon)
exon:chr11:59992438-59992566:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Inclusion causes NMD (found stop codon)
exon:chr11:61537864-61538004:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:62530199-62530423:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:62601090-62601146:-,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:62644256-62644351:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:63413979-63414035:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:63519996-63520117:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:63520014-63520117:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:63532340-63532726:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:63590607-63590782:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:63991572-63991682:-,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:63991572-63991682:-,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:64003664-64003799:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:64055193-64055418:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:64055193-64055418:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:64055537-64055686:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:64055537-64055686:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:64882385-64882553:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:65156856-65156999:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:65156856-65156999:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:65161044-65161145:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:65161044-65161145:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:66052852-66053007:-,ipsc_npc_mn_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:66052852-66053007:-,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:66138715-66138838:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:6630068-6630209:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:66529675-66529921:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:66563891-66564069:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:67271598-67271692:-,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:67271598-67271692:-,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:67374770-67375087:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:70196029-70196145:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:70197100-70197129:+,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:70267576-70267686:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Splicing not known to cause NMD
exon:chr11:70267576-70267686:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Splicing not known to cause NMD
exon:chr11:71673198-71673335:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Inclusion causes NMD (annotated)
exon:chr11:71673198-71673335:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Inclusion causes NMD (annotated)
exon:chr11:71713347-71713443:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:71713347-71713443:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:71713350-71713443:+,UPF1_K562_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:71713350-71713443:+,UPF1_K562_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
exon:chr11:73587524-73587620:-,ipsc_only_regression_targets.csv,Splicing not known to cause NMD
exon:chr11:77622016-77622198:-,correlated_actual_filtered_targets.csv,Splicing not known to cause NMD
exon:chr11:780243-780381:+,UPF1_HepG2_SE.MATS.JunctionCountOnly_targets.csv,Exon not found
exon:chr11:796043-796253:-,UPF1_HepG2_SE.MATS.ReadsOnTargetAndJunctionCounts_targets.csv,Exon not found
