,event_id,gene_name,n_cells,slope,r_squared
27,isoform1=junction:chr12:104345409-104350408:-|isoform2=junction:chr12:104347313-104350408:-@exon:chr12:104347192-104347312:-@junction:chr12:104345409-104347191:-,HSP90B1,71,1.092640631,0.129248934
28,isoform1=junction:chr12:112451414-112459953:+|isoform2=junction:chr12:112451414-112457559:+@exon:chr12:112457560-112457698:+@junction:chr12:112457699-112459953:+,ERP29,56,0.642870024,0.015733095
29,isoform1=junction:chr12:121838022-121853961:+|isoform2=junction:chr12:121838022-121840544:+@exon:chr12:121840545-121840610:+@junction:chr12:121840611-121853961:+,RNF34,61,-0.501008632,0.006594298
30,isoform1=junction:chr12:123003577-123005931:-|isoform2=junction:chr12:123005129-123005931:-@exon:chr12:123005051-123005128:-@junction:chr12:123003577-123005050:-,RSRC2,128,-0.592781504,0.008927182
31,isoform1=junction:chr12:27450788-27455069:+|isoform2=junction:chr12:27450788-27453486:+@exon:chr12:27453487-27453534:+@junction:chr12:27453535-27455069:+,STK38L,58,0.542652128,0.018045947
32,isoform1=junction:chr12:31451159-31478957:-|isoform2=junction:chr12:31458058-31478957:-@exon:chr12:31457916-31458057:-@junction:chr12:31451159-31457915:-,FAM60A,129,0.899135748,0.058718223
33,isoform1=junction:chr12:32113806-32133811:+|isoform2=junction:chr12:32113806-32123122:+@exon:chr12:32123123-32123290:+@junction:chr12:32123291-32133811:+,KIAA1551,56,-0.504613112,0.019498946
34,isoform1=junction:chr12:39735927-39745578:-|isoform2=junction:chr12:39740307-39745578:-@exon:chr12:39740268-39740306:-@junction:chr12:39735927-39740267:-,KIF21A,66,2.149749766,0.15538405
35,isoform1=junction:chr12:42768877-42781257:+|isoform2=junction:chr12:42768877-42778741:+@exon:chr12:42778742-42778798:+@junction:chr12:42778799-42781257:+,PPHLN1,110,-0.556951638,0.022710095
36,isoform1=junction:chr12:4653071-4655474:+|isoform2=junction:chr12:4653071-4654947:+@exon:chr12:4654948-4654998:+@junction:chr12:4654999-4655474:+,RAD51AP1,62,-0.850054023,0.037912398
37,isoform1=junction:chr12:49761371-49854552:+|isoform2=junction:chr12:49761371-49765010:+@exon:chr12:49765011-49765073:+@junction:chr12:49765074-49854552:+,SPATS2,65,1.092994295,0.061265078
38,isoform1=junction:chr12:56554105-56555170:+|isoform2=junction:chr12:56554105-56554409:+@exon:chr12:56554410-56554454:+@junction:chr12:56554455-56555170:+,MYL6,195,0.834586434,0.006812749
39,isoform1=junction:chr12:96396843-96400091:-|isoform2=junction:chr12:96397699-96400091:-@exon:chr12:96397616-96397698:-@junction:chr12:96396843-96397615:-,LTA4H,89,-0.511651729,0.002028895
40,isoform1=junction:chr13:115048419-115051993:+|isoform2=junction:chr13:115048419-115051776:+@exon:chr13:115051777-115051875:+@junction:chr13:115051876-115051993:+,UPF3A,71,0.967968531,0.020161264
41,isoform1=junction:chr13:20426331-20437589:-|isoform2=junction:chr13:20436607-20437589:-@exon:chr13:20436539-20436606:-@junction:chr13:20426331-20436538:-,ZMYM5,53,-0.50375196,0.003237108
42,isoform1=junction:chr13:37583947-37586328:-|isoform2=junction:chr13:37584793-37586328:-@exon:chr13:37584689-37584792:-@junction:chr13:37583947-37584688:-,SUPT20H,60,1.64510081,0.019171401
43,isoform1=junction:chr13:53287005-53307353:-|isoform2=junction:chr13:53298246-53307353:-@exon:chr13:53298132-53298245:-@junction:chr13:53287005-53298131:-,LECT1,53,1.452073628,0.152614945
44,isoform1=junction:chr14:23374663-23375403:-|isoform2=junction:chr14:23374869-23375403:-@exon:chr14:23374815-23374868:-@junction:chr14:23374663-23374814:-,RBM23,62,-1.25034515,0.113373519
45,isoform1=junction:chr14:31028479-31055923:+|isoform2=junction:chr14:31028479-31050281:+@exon:chr14:31050282-31050322:+@junction:chr14:31050323-31055923:+,G2E3,96,-2.759967054,-0.069439993
46,isoform1=junction:chr14:35579836-35591107:-|isoform2=junction:chr14:35585944-35591107:-@exon:chr14:35585816-35585943:-@junction:chr14:35579836-35585815:-,FAM177A1,50,0.77722194,-0.017105032
47,isoform1=junction:chr14:35579836-35591107:-|isoform2=junction:chr14:35585944-35591107:-@exon:chr14:35585816-35585943:-@junction:chr14:35579836-35585815:-,KIAA0391,50,1.420265188,0.05617441
48,isoform1=junction:chr14:53327184-53331118:-|isoform2=junction:chr14:53327753-53331118:-@exon:chr14:53327732-53327752:-@junction:chr14:53327184-53327731:-,FERMT2,60,-0.539208734,0.026897726
49,isoform1=junction:chr14:55615192-55617516:-|isoform2=junction:chr14:55615403-55617516:-@exon:chr14:55615312-55615402:-@junction:chr14:55615192-55615311:-,DLGAP5,56,0.778847823,-0.025519632
50,isoform1=junction:chr14:56139731-56142552:+|isoform2=junction:chr14:56139731-56139889:+@exon:chr14:56139890-56139973:+@junction:chr14:56139974-56142552:+,KTN1,101,-0.576570879,0.025558044
51,isoform1=junction:chr14:58813224-58814364:+|isoform2=junction:chr14:58813224-58813737:+@exon:chr14:58813738-58813835:+@junction:chr14:58813836-58814364:+,ARID4A,56,1.436190122,0.140316286
52,isoform1=junction:chr14:65390845-65398855:+|isoform2=junction:chr14:65390845-65392724:+@exon:chr14:65392725-65392798:+@junction:chr14:65392799-65398855:+,CHURC1-FNTB,55,0.789856486,0.054649606
53,isoform1=junction:chr14:65390845-65398855:+|isoform2=junction:chr14:65390845-65392724:+@exon:chr14:65392725-65392798:+@junction:chr14:65392799-65398855:+,FNTB,55,0.711025096,-0.112866747
54,isoform1=junction:chr14:74387809-74390097:+|isoform2=junction:chr14:74387809-74388768:+@exon:chr14:74388769-74388909:+@junction:chr14:74388910-74390097:+,ZNF410,60,0.950570656,0.064137959
55,isoform1=junction:chr15:57543622-57545459:+|isoform2=junction:chr15:57543622-57544618:+@exon:chr15:57544619-57544690:+@junction:chr15:57544691-57545459:+,TCF12,67,0.579972545,0.033613497
56,isoform1=junction:chr15:59191052-59193458:-|isoform2=junction:chr15:59192137-59193458:-@exon:chr15:59191668-59192136:-@junction:chr15:59191052-59191667:-,RNF111,67,0.645065862,-0.010189758
57,isoform1=junction:chr15:63354845-63358094:+|isoform2=junction:chr15:63354845-63356262:+@exon:chr15:63356263-63356341:+@junction:chr15:63356342-63358094:+,TPM1,71,0.523688333,-0.008019491
58,isoform1=junction:chr15:64367737-64380885:-|isoform2=junction:chr15:64373351-64380885:-@exon:chr15:64373301-64373350:-@junction:chr15:64367737-64373300:-,FAM96A,121,1.067352378,0.069459219
59,isoform1=junction:chr15:64658275-64673156:-|isoform2=junction:chr15:64669105-64673156:-@exon:chr15:64668942-64669104:-@junction:chr15:64658275-64668941:-,KIAA0101,110,0.854222351,0.032988261
60,isoform1=junction:chr16:16485954-16487312:+|isoform2=junction:chr16:16485954-16486449:+@exon:chr16:16486450-16486519:+@junction:chr16:16486520-16487312:+,NPIPA7,62,-0.920293047,0.046848399
61,isoform1=junction:chr16:18452446-18453804:-|isoform2=junction:chr16:18453309-18453804:-@exon:chr16:18453239-18453308:-@junction:chr16:18452446-18453238:-,RP11-1212A22.4,50,-1.182179774,0.037862682
62,isoform1=junction:chr16:46836983-46858297:-|isoform2=junction:chr16:46843698-46858297:-@exon:chr16:46843515-46843697:-@junction:chr16:46836983-46843514:-,C16orf87,52,-0.62977155,0.046610303
63,isoform1=junction:chr16:66586697-66597024:+|isoform2=junction:chr16:66586697-66592092:+@exon:chr16:66592093-66592251:+@junction:chr16:66592252-66597024:+,CKLF,84,-0.759390207,0.031798189
64,isoform1=junction:chr16:69747033-69752025:-|isoform2=junction:chr16:69748981-69752025:-@exon:chr16:69748867-69748980:-@junction:chr16:69747033-69748866:-,NQO1,58,1.763468993,0.048000173
65,isoform1=junction:chr16:71956584-71958671:+|isoform2=junction:chr16:71956584-71957190:+@exon:chr16:71957191-71957283:+@junction:chr16:71957284-71958671:+,IST1,68,-0.930516803,-0.046626214
66,isoform1=junction:chr16:81010077-81015410:-|isoform2=junction:chr16:81014485-81015410:-@exon:chr16:81014375-81014484:-@junction:chr16:81010077-81014374:-,CMC2,114,0.5754964,0.020980855
67,isoform1=junction:chr16:81053882-81058319:+|isoform2=junction:chr16:81053882-81056201:+@exon:chr16:81056202-81056303:+@junction:chr16:81056304-81058319:+,CENPN,59,0.600372481,0.033900249
68,isoform1=junction:chr16:81053882-81058319:+|isoform2=junction:chr16:81053882-81056201:+@exon:chr16:81056202-81056303:+@junction:chr16:81056304-81058319:+,CMC2,59,0.933297753,-0.019576193
69,isoform1=junction:chr16:90015223-90020650:+|isoform2=junction:chr16:90015223-90015824:+@exon:chr16:90015825-90015921:+@junction:chr16:90015922-90020650:+,DEF8,56,0.803550262,0.046596409
70,isoform1=junction:chr17:26659014-26662365:-|isoform2=junction:chr17:26659409-26662365:-@exon:chr17:26659172-26659408:-@junction:chr17:26659014-26659171:-,IFT20,63,2.433142779,0.379124413
71,isoform1=junction:chr17:34842630-34848656:+|isoform2=junction:chr17:34842630-34842778:+@exon:chr17:34842779-34842810:+@junction:chr17:34842811-34848656:+,ZNHIT3,120,-0.556330576,0.038037567
72,isoform1=junction:chr17:40719674-40720854:+|isoform2=junction:chr17:40719674-40720487:+@exon:chr17:40720488-40720577:+@junction:chr17:40720578-40720854:+,MLX,65,0.598281464,0.051200876
73,isoform1=junction:chr17:5326150-5335861:+|isoform2=junction:chr17:5326150-5329290:+@exon:chr17:5329291-5329402:+@junction:chr17:5329403-5335861:+,C1QBP,64,5.194066946,-0.543574757
74,isoform1=junction:chr17:5326150-5335861:+|isoform2=junction:chr17:5326150-5329290:+@exon:chr17:5329291-5329402:+@junction:chr17:5329403-5335861:+,RPAIN,64,0.603183762,0.041361004
75,isoform1=junction:chr17:5326150-5335861:+|isoform2=junction:chr17:5326150-5329290:+@exon:chr17:5329291-5329619:+@junction:chr17:5329620-5335861:+,C1QBP,79,3.673408709,0.041023098
76,isoform1=junction:chr17:5326150-5335861:+|isoform2=junction:chr17:5326150-5329290:+@exon:chr17:5329291-5331531:+@junction:chr17:5331532-5335861:+,C1QBP,127,3.138494705,-0.183960267
77,isoform1=junction:chr17:5326150-5335861:+|isoform2=junction:chr17:5326150-5329290:+@exon:chr17:5329291-5331531:+@junction:chr17:5331532-5335861:+,RPAIN,127,0.687482963,0.044510368
78,isoform1=junction:chr17:5326150-5335861:+|isoform2=junction:chr17:5326150-5329555:+@exon:chr17:5329556-5329619:+@junction:chr17:5329620-5335861:+,C1QBP,84,4.95495084,-0.154607435
79,isoform1=junction:chr17:5326150-5335861:+|isoform2=junction:chr17:5326150-5329555:+@exon:chr17:5329556-5329619:+@junction:chr17:5329620-5335861:+,RPAIN,84,0.532398706,0.030090629
80,isoform1=junction:chr17:5329403-5335861:+|isoform2=junction:chr17:5329403-5329555:+@exon:chr17:5329556-5329619:+@junction:chr17:5329620-5335861:+,C1QBP,81,4.421391096,0.004134881
81,isoform1=junction:chr17:57763170-57767996:+|isoform2=junction:chr17:57763170-57764361:+@exon:chr17:57764362-57764382:+@junction:chr17:57764383-57767996:+,CLTC,99,1.24466549,0.088782939
82,isoform1=junction:chr17:6547980-6553675:-|isoform2=junction:chr17:6553399-6553675:-@exon:chr17:6553302-6553398:-@junction:chr17:6547980-6553301:-,TXNDC17,59,0.787687332,0.02808297
83,isoform1=junction:chr17:6918476-6919813:+|isoform2=junction:chr17:6918476-6919092:+@exon:chr17:6919093-6919194:+@junction:chr17:6919195-6919813:+,RNASEK-C17orf49,102,3.51758546,-0.033352212
84,isoform1=junction:chr17:6920005-6920575:+|isoform2=junction:chr17:6920005-6920228:+@exon:chr17:6920229-6920333:+@junction:chr17:6920334-6920575:+,RNASEK-C17orf49,53,4.589297259,0.508423315
85,isoform1=junction:chr17:79977258-79977733:-|isoform2=junction:chr17:79977571-79977733:-@exon:chr17:79977386-79977570:-@junction:chr17:79977258-79977385:-,STRA13,53,0.594150549,0.018883737
86,isoform1=junction:chr18:13726729-13731474:+|isoform2=junction:chr18:13726729-13730625:+@exon:chr18:13730626-13730754:+@junction:chr18:13730755-13731474:+,FAM210A,131,-3.745775093,-0.122815872
87,isoform1=junction:chr18:9195697-9208654:+|isoform2=junction:chr18:9195697-9204473:+@exon:chr18:9204474-9204542:+@junction:chr18:9204543-9208654:+,ANKRD12,78,1.180564723,0.084132813
88,isoform1=junction:chr19:34712644-34718269:+|isoform2=junction:chr19:34712644-34717312:+@exon:chr19:34717313-34717369:+@junction:chr19:34717370-34718269:+,LSM14A,55,0.607556057,0.040900621
89,isoform1=junction:chr19:35990932-35991434:-|isoform2=junction:chr19:35991322-35991434:-@exon:chr19:35991280-35991321:-@junction:chr19:35990932-35991279:-,DMKN,56,0.52331312,0.021238451
90,isoform1=junction:chr19:39123137-39125632:+|isoform2=junction:chr19:39123137-39123240:+@exon:chr19:39123241-39123318:+@junction:chr19:39123319-39125632:+,EIF3K,164,0.754790066,0.006431066
91,isoform1=junction:chr1:101456188-101460665:-|isoform2=junction:chr1:101458297-101460665:-@exon:chr1:101458193-101458296:-@junction:chr1:101456188-101458192:-,AC093157.1,79,0.969671857,0.032841121
92,isoform1=junction:chr1:101456188-101460665:-|isoform2=junction:chr1:101458297-101460665:-@exon:chr1:101458193-101458296:-@junction:chr1:101456188-101458192:-,DPH5,79,0.640613852,0.018718876
93,isoform1=junction:chr1:111492746-111506242:-|isoform2=junction:chr1:111495438-111506242:-@exon:chr1:111493910-111495437:-@junction:chr1:111492746-111493909:-,LRIF1,62,1.688331654,0.086916113
94,isoform1=junction:chr1:113246429-113249699:-|isoform2=junction:chr1:113247791-113249699:-@exon:chr1:113247722-113247790:-@junction:chr1:113246429-113247721:-,RHOC,73,1.022476633,0.030407231
95,isoform1=junction:chr1:154187051-154192817:-|isoform2=junction:chr1:154192414-154192817:-@exon:chr1:154192312-154192413:-@junction:chr1:154187051-154192311:-,UBAP2L,96,-0.733797207,-0.15418113
96,isoform1=junction:chr1:155289480-155290199:+|isoform2=junction:chr1:155289480-155289584:+@exon:chr1:155289585-155289719:+@junction:chr1:155289720-155290199:+,FDPS,158,-1.274137941,0.039788886
97,isoform1=junction:chr1:193028907-193044949:+|isoform2=junction:chr1:193028907-193038163:+@exon:chr1:193038164-193038764:+@junction:chr1:193038765-193044949:+,TROVE2,100,0.575004317,0.033792021
98,isoform1=junction:chr1:224505633-224517772:-|isoform2=junction:chr1:224514167-224517772:-@exon:chr1:224514093-224514166:-@junction:chr1:224505633-224514092:-,NVL,97,-0.693779436,0.028463282
99,isoform1=junction:chr1:227400921-227441764:-|isoform2=junction:chr1:227407122-227441764:-@exon:chr1:227406964-227407121:-@junction:chr1:227400921-227406963:-,CDC42BPA,133,0.653799074,-0.001367475
100,isoform1=junction:chr1:23665102-23670703:-|isoform2=junction:chr1:23667511-23670703:-@exon:chr1:23667345-23667510:-@junction:chr1:23665102-23667344:-,HNRNPR,123,0.576192938,0.047779889
101,isoform1=junction:chr1:23665102-23670703:-|isoform2=junction:chr1:23667514-23670703:-@exon:chr1:23667345-23667513:-@junction:chr1:23665102-23667344:-,HNRNPR,119,0.587495052,0.038745422
102,isoform1=junction:chr1:244999059-245005496:+|isoform2=junction:chr1:244999059-245005245:+@exon:chr1:245005246-245005360:+@junction:chr1:245005361-245005496:+,COX20,158,0.791309885,0.071543822
103,isoform1=junction:chr1:245133746-245180543:+|isoform2=junction:chr1:245133746-245165422:+@exon:chr1:245165423-245165534:+@junction:chr1:245165535-245180543:+,EFCAB2,62,-1.23315553,0.08239687
104,isoform1=junction:chr1:245133746-245222687:+|isoform2=junction:chr1:245133746-245180543:+@exon:chr1:245180544-245180628:+@junction:chr1:245180629-245222687:+,EFCAB2,63,0.790342346,-0.038263744
105,isoform1=junction:chr1:29064851-29095440:+|isoform2=junction:chr1:29064851-29068914:+@exon:chr1:29068915-29070498:+@junction:chr1:29070499-29095440:+,YTHDF2,99,2.955413195,0.257384109
106,isoform1=junction:chr1:37961520-37967404:-|isoform2=junction:chr1:37962338-37967404:-@exon:chr1:37962308-37962337:-@junction:chr1:37961520-37962307:-,MEAF6,104,1.232141544,0.146943323
107,isoform1=junction:chr1:40029414-40030094:-|isoform2=junction:chr1:40029595-40030094:-@exon:chr1:40029508-40029594:-@junction:chr1:40029414-40029507:-,PABPC4,54,1.236968159,0.168479618
108,isoform1=junction:chr1:46016828-46027460:+|isoform2=junction:chr1:46016828-46018107:+@exon:chr1:46018108-46018235:+@junction:chr1:46018236-46027460:+,AKR1A1,119,0.553338253,0.007626292
109,isoform1=junction:chr1:46033850-46034598:+|isoform2=junction:chr1:46033850-46034156:+@exon:chr1:46034157-46034356:+@junction:chr1:46034357-46034598:+,AKR1A1,131,0.553161322,0.025288394
110,isoform1=junction:chr1:46072264-46078840:+|isoform2=junction:chr1:46072264-46072992:+@exon:chr1:46072993-46074009:+@junction:chr1:46074010-46078840:+,NASP,98,1.35313637,0.33143065
111,isoform1=junction:chr1:46774800-46775826:+|isoform2=junction:chr1:46774800-46775568:+@exon:chr1:46775569-46775716:+@junction:chr1:46775717-46775826:+,UQCRH,191,-0.794174323,0.008305311
112,isoform1=junction:chr1:54317944-54325728:-|isoform2=junction:chr1:54320725-54325728:-@exon:chr1:54320674-54320724:-@junction:chr1:54317944-54320673:-,YIPF1,60,0.584986181,0.032816274
113,isoform1=junction:chr1:54354660-54355385:-|isoform2=junction:chr1:54355137-54355385:-@exon:chr1:54354917-54355136:-@junction:chr1:54354660-54354916:-,YIPF1,50,0.842466793,0.063668632
114,isoform1=junction:chr1:6845636-6885151:+|isoform2=junction:chr1:6845636-6880240:+@exon:chr1:6880241-6880310:+@junction:chr1:6880311-6885151:+,CAMTA1,150,0.692684821,-0.003431069
115,isoform1=junction:chr1:71530821-71532458:-|isoform2=junction:chr1:71531436-71532458:-@exon:chr1:71531361-71531435:-@junction:chr1:71530821-71531360:-,ZRANB2,76,0.715335005,0.088484776
116,isoform1=junction:chr1:75190519-75198639:-|isoform2=junction:chr1:75196105-75198639:-@exon:chr1:75196066-75196104:-@junction:chr1:75190519-75196065:-,CRYZ,95,-0.856901926,0.050587357
117,isoform1=junction:chr1:75202307-75214434:+|isoform2=junction:chr1:75202307-75204373:+@exon:chr1:75204374-75204472:+@junction:chr1:75204473-75214434:+,TYW3,84,0.881645183,0.027193872
118,isoform1=junction:chr1:78207434-78225327:-|isoform2=junction:chr1:78211285-78225327:-@exon:chr1:78211106-78211284:-@junction:chr1:78207434-78211105:-,USP33,99,0.802435152,0.051867159
119,isoform1=junction:chr1:89435151-89458267:-|isoform2=junction:chr1:89454035-89458267:-@exon:chr1:89453935-89454034:-@junction:chr1:89435151-89453934:-,CCBL2,66,1.014703436,0.092563907
120,isoform1=junction:chr1:89435151-89458267:-|isoform2=junction:chr1:89454035-89458267:-@exon:chr1:89453935-89454034:-@junction:chr1:89435151-89453934:-,RBMXL1,66,0.580601524,-0.034917625
121,isoform1=junction:chr1:93592857-93599259:+|isoform2=junction:chr1:93592857-93594834:+@exon:chr1:93594835-93595005:+@junction:chr1:93595006-93599259:+,MTF2,86,0.534571223,0.001383245
122,isoform1=junction:chr20:13789549-13797108:+|isoform2=junction:chr20:13789549-13795063:+@exon:chr20:13795064-13795161:+@junction:chr20:13795162-13797108:+,NDUFAF5,59,0.689113597,0.074370035
123,isoform1=junction:chr20:33867922-33871978:-|isoform2=junction:chr20:33868633-33871978:-@exon:chr20:33868457-33868632:-@junction:chr20:33867922-33868456:-,EIF6,145,1.061165985,0.052848224
124,isoform1=junction:chr20:34136619-34142814:+|isoform2=junction:chr20:34136619-34142142:+@exon:chr20:34142143-34142157:+@junction:chr20:34142158-34142814:+,ERGIC3,157,0.568957124,0.025834252
125,isoform1=junction:chr20:36149806-36151068:+|isoform2=junction:chr20:36149806-36150759:+@exon:chr20:36150760-36150840:+@junction:chr20:36150841-36151068:+,BLCAP,66,-1.405178894,-0.427195431
126,isoform1=junction:chr20:47770609-47790731:-|isoform2=junction:chr20:47782823-47790731:-@exon:chr20:47782534-47782822:-@junction:chr20:47770609-47782533:-,STAU1,83,0.872673783,0.060987155
127,isoform1=junction:chr20:57470740-57478585:+|isoform2=junction:chr20:57470740-57473995:+@exon:chr20:57473996-57474040:+@junction:chr20:57474041-57478585:+,GNAS,141,1.045303213,0.069012332
128,isoform1=junction:chr21:30380445-30380715:-|isoform2=junction:chr21:30380629-30380715:-@exon:chr21:30380561-30380628:-@junction:chr21:30380445-30380560:-,RWDD2B,94,-0.744222905,0.024359226
129,isoform1=junction:chr22:24666952-24698162:+|isoform2=junction:chr22:24666952-24672667:+@exon:chr22:24672668-24672771:+@junction:chr22:24672772-24698162:+,SPECC1L-ADORA2A,61,2.062188071,0.433488041
130,isoform1=junction:chr22:35659868-35660640:+|isoform2=junction:chr22:35659868-35659974:+@exon:chr22:35659975-35660089:+@junction:chr22:35660090-35660640:+,HMGXB4,94,1.548112165,0.119885755
131,isoform1=junction:chr2:136362587-136379063:+|isoform2=junction:chr2:136362587-136374237:+@exon:chr2:136374238-136374327:+@junction:chr2:136374328-136379063:+,R3HDM1,67,0.818460085,0.053809847
132,isoform1=junction:chr2:160252346-160253855:-|isoform2=junction:chr2:160253612-160253855:-@exon:chr2:160253585-160253611:-@junction:chr2:160252346-160253584:-,BAZ2B,60,0.823702205,0.006817373
133,isoform1=junction:chr2:160269057-160284821:-|isoform2=junction:chr2:160284554-160284821:-@exon:chr2:160284452-160284553:-@junction:chr2:160269057-160284451:-,BAZ2B,81,1.015805808,0.050650713
134,isoform1=junction:chr2:172563888-172571837:+|isoform2=junction:chr2:172563888-172569276:+@exon:chr2:172569277-172569336:+@junction:chr2:172569337-172571837:+,DYNC1I2,133,0.647289796,0.091751463
135,isoform1=junction:chr2:178081669-178083764:+|isoform2=junction:chr2:178081669-178082432:+@exon:chr2:178082433-178082573:+@junction:chr2:178082574-178083764:+,HNRNPA3,51,0.513638114,0.082704264
136,isoform1=junction:chr2:198380871-198400253:+|isoform2=junction:chr2:198380871-198388347:+@exon:chr2:198388348-198388410:+@junction:chr2:198388411-198400253:+,HSPD1,125,-0.53217249,-0.032631031
137,isoform1=junction:chr2:198380871-198400253:+|isoform2=junction:chr2:198380871-198388347:+@exon:chr2:198388348-198388410:+@junction:chr2:198388411-198400253:+,HSPE1-MOB4,125,-0.873186298,0.030886808
138,isoform1=junction:chr2:198380871-198400253:+|isoform2=junction:chr2:198380871-198388347:+@exon:chr2:198388348-198388410:+@junction:chr2:198388411-198400253:+,MOB4,125,-1.599742016,0.068454743
