,dataset,ensembl_id,event_id,iteration,p_value,spearman_r,gene_name
2850046,Actual,ENSG00000203791,isoform1=junction:chr10:126449073-126453960:-|isoform2=junction:chr10:126451128-126453960:-@novel_exon:chr10:126451045-126451127:-@junction:chr10:126449073-126451044:-,,0.031599276,-0.522021217,METTL10
2850047,Actual,ENSG00000150760,isoform1=junction:chr10:128851080-128904494:+|isoform2=junction:chr10:128851080-128859931:+@exon:chr10:128859932-128860040:+@junction:chr10:128860041-128904494:+,,0.211824469,0.388650165,DOCK1
2850051,Actual,ENSG00000165630,isoform1=junction:chr10:13629153-13639457:+|isoform2=junction:chr10:13629153-13633767:+@exon:chr10:13633768-13633888:+@junction:chr10:13633889-13639457:+,,0.011223698,-0.489095586,PRPF18
2850065,Actual,ENSG00000120539,isoform1=junction:chr10:27469996-27475307:+|isoform2=junction:chr10:27469996-27470408:+@exon:chr10:27470409-27470510:+@junction:chr10:27470511-27475307:+,,0.111172953,0.46291005,MASTL
2850066,Actual,ENSG00000095787,isoform1=junction:chr10:28879762-28897114:+|isoform2=junction:chr10:28879762-28884661:+@exon:chr10:28884662-28884970:+@junction:chr10:28884971-28897114:+,,0.020174135,0.591607978,WAC
2850071,Actual,ENSG00000095794,isoform1=junction:chr10:35416122-35467816:+|isoform2=junction:chr10:35416122-35437295:+@exon:chr10:35437296-35437419:+@junction:chr10:35437420-35467816:+,,0.13701253,0.435385392,CREM
2850074,Actual,ENSG00000189180,isoform1=junction:chr10:38306315-38343305:+|isoform2=junction:chr10:38306315-38323253:+@novel_exon:chr10:38323254-38323328:+@junction:chr10:38323329-38343305:+,,0.143461466,-0.497468338,ZNF33A
2850076,Actual,ENSG00000196693,isoform1=junction:chr10:43127888-43133921:-|isoform2=junction:chr10:43132421-43133921:-@exon:chr10:43132368-43132420:-@junction:chr10:43127888-43132367:-,,0.058098451,-0.499312715,ZNF33B
2850078,Actual,ENSG00000172661,isoform1=junction:chr10:46268807-46274400:+|isoform2=junction:chr10:46268807-46272720:+@exon:chr10:46272721-46272873:+@junction:chr10:46272874-46274400:+,,0.029683721,-0.601411213,FAM21C
2850082,Actual,ENSG00000099290,isoform1=junction:chr10:51885940-51887342:+|isoform2=junction:chr10:51885940-51886919:+@exon:chr10:51886920-51886982:+@junction:chr10:51886983-51887342:+,,0.157253936,-0.416141274,FAM21A
2850087,Actual,ENSG00000096717,isoform1=junction:chr10:69651313-69666546:+|isoform2=junction:chr10:69651313-69665919:+@exon:chr10:69665920-69666044:+@junction:chr10:69666045-69666546:+,,0.235484498,0.41303706,SIRT1
2850094,Actual,ENSG00000122884,isoform1=junction:chr10:74790129-74804738:-|isoform2=junction:chr10:74803716-74804738:-@exon:chr10:74803645-74803715:-@junction:chr10:74790129-74803644:-,,0.018137364,0.581519026,P4HA1
2850101,Actual,ENSG00000148660,isoform1=junction:chr10:75612078-75620587:-|isoform2=junction:chr10:75613005-75620587:-@exon:chr10:75612950-75613004:-@junction:chr10:75612078-75612949:-,,0.121502919,0.522232968,CAMK2G
2850104,Actual,ENSG00000151657,isoform1=junction:chr10:7822271-7829782:-|isoform2=junction:chr10:7825139-7829782:-@exon:chr10:7825044-7825138:-@junction:chr10:7822271-7825043:-,,0.013738683,0.401647852,KIN
2850110,Actual,ENSG00000122376,isoform1=junction:chr10:88930732-88939831:+|isoform2=junction:chr10:88930732-88935645:+@exon:chr10:88935646-88935852:+@junction:chr10:88935853-88939831:+,,0.17831784,-0.397752091,FAM35A
2850112,Actual,ENSG00000148690,isoform1=junction:chr10:95447207-95452402:-|isoform2=junction:chr10:95451851-95452402:-@exon:chr10:95451766-95451850:-@junction:chr10:95447207-95451765:-,,0.121502919,0.522232968,FRA10AC1
2850117,Actual,ENSG00000196233,isoform1=junction:chr10:98667505-98708764:+|isoform2=junction:chr10:98667505-98703869:+@exon:chr10:98703870-98704002:+@junction:chr10:98704003-98708764:+,,0.044188034,-0.525619168,LCOR
2850120,Actual,ENSG00000155229,isoform1=junction:chr10:99238147-99240698:-|isoform2=junction:chr10:99240115-99240698:-@exon:chr10:99239998-99240114:-@junction:chr10:99238147-99239997:-,,0.096608884,0.525875893,MMS19
2850121,Actual,ENSG00000166024,isoform1=junction:chr10:99894464-99922639:+@exon:chr10:99922640-99922732:+@junction:chr10:99922733-99923049:+|isoform2=junction:chr10:99894464-99915849:+@exon:chr10:99915850-99915904:+@junction:chr10:99915905-99923049:+,,0.246249619,-0.404519918,R3HCC1L
2850124,Actual,ENSG00000166024,isoform1=junction:chr10:99923155-99967857:+|isoform2=junction:chr10:99923155-99946223:+@exon:chr10:99946224-99946320:+@junction:chr10:99946321-99967857:+,,0.056155008,0.445140494,R3HCC1L
2850125,Actual,ENSG00000166024,isoform1=junction:chr10:99969657-99991268:+|isoform2=junction:chr10:99969657-99971063:+@exon:chr10:99971064-99971105:+@junction:chr10:99971106-99991268:+,,0.192977583,0.385758375,R3HCC1L
2850133,Actual,ENSG00000137713,isoform1=junction:chr11:111597782-111612776:-|isoform2=junction:chr11:111608294-111612776:-@exon:chr11:111608172-111608293:-@junction:chr11:111597782-111608171:-,,0.022899495,-0.674199863,PPP2R1B
2850134,Actual,ENSG00000170145,isoform1=junction:chr11:111597782-111612776:-|isoform2=junction:chr11:111608294-111612776:-@exon:chr11:111608172-111608293:-@junction:chr11:111597782-111608171:-,,0.151856473,0.462681396,SIK2
2850137,Actual,ENSG00000150773,isoform1=junction:chr11:111945083-111946290:+|isoform2=junction:chr11:111945083-111945610:+@exon:chr11:111945611-111945640:+@junction:chr11:111945641-111946290:+,,0.022073046,0.626066929,PIH1D2
2850138,Actual,ENSG00000150776,isoform1=junction:chr11:111945083-111946290:+|isoform2=junction:chr11:111945083-111945610:+@exon:chr11:111945611-111945640:+@junction:chr11:111945641-111946290:+,,0.015329576,0.653936288,C11orf57
2850141,Actual,ENSG00000048028,isoform1=junction:chr11:113698083-113699918:-|isoform2=junction:chr11:113699643-113699918:-@exon:chr11:113699566-113699642:-@junction:chr11:113698083-113699565:-,,0.079124339,-0.467177367,USP28
2850171,Actual,ENSG00000011405,isoform1=junction:chr11:17121517-17124208:-|isoform2=junction:chr11:17122982-17124208:-@exon:chr11:17122825-17122981:-@junction:chr11:17121517-17122824:-,,0.03496508,-0.565759818,PIK3C2A
2850174,Actual,ENSG00000011405,isoform1=junction:chr11:17156707-17167214:-|isoform2=junction:chr11:17158173-17167214:-@exon:chr11:17158029-17158172:-@junction:chr11:17156707-17158028:-,,0.004073486,-0.694383846,PIK3C2A
2850178,Actual,ENSG00000129158,isoform1=junction:chr11:18022105-18028137:-|isoform2=junction:chr11:18026083-18028137:-@exon:chr11:18025988-18026082:-@junction:chr11:18022105-18025987:-,,0.121502919,0.522232968,SERGEF
2850179,Actual,ENSG00000110756,isoform1=junction:chr11:18319265-18322374:-|isoform2=junction:chr11:18320518-18322374:-@exon:chr11:18320339-18320517:-@junction:chr11:18319265-18320338:-,,0.011914859,-0.753123419,HPS5
2850191,Actual,ENSG00000148950,isoform1=junction:chr11:31455118-31482172:-|isoform2=junction:chr11:31477934-31482172:-@exon:chr11:31477807-31477933:-@junction:chr11:31455118-31477806:-,,0.062015931,0.510712916,IMMP1L
2850195,Actual,ENSG00000148950,isoform1=junction:chr11:31455118-31531065:-|isoform2=junction:chr11:31484853-31531065:-@exon:chr11:31484719-31484852:-@junction:chr11:31455118-31484718:-,,0.00532525,0.540055023,IMMP1L
2850206,Actual,ENSG00000005801,isoform1=junction:chr11:3392934-3400267:-|isoform2=junction:chr11:3394906-3400267:-@exon:chr11:3394807-3394905:-@junction:chr11:3392934-3394806:-,,0.02971797,0.41119511,ZNF195
2850208,Actual,ENSG00000121691,isoform1=junction:chr11:34478365-34482797:+|isoform2=junction:chr11:34478365-34479322:+@novel_exon:chr11:34479323-34479394:+@junction:chr11:34479395-34482797:+,,0.244128682,0.406181197,CAT
2850209,Actual,ENSG00000110713,isoform1=junction:chr11:3724123-3726429:-|isoform2=junction:chr11:3726069-3726429:-@novel_exon:chr11:3725976-3726068:-@junction:chr11:3724123-3725975:-,,0.244128682,-0.406181197,NUP98
2850215,Actual,ENSG00000165905,isoform1=junction:chr11:45946441-45947772:+|isoform2=junction:chr11:45946441-45947589:+@exon:chr11:45947590-45947702:+@junction:chr11:45947703-45947772:+,,0.029376683,-0.683349073,GYLTL1B
2850223,Actual,ENSG00000132256,isoform1=junction:chr11:5686913-5688918:-|isoform2=junction:chr11:5687312-5688918:-@exon:chr11:5687211-5687311:-@junction:chr11:5686913-5687210:-,,0.113937412,0.480384461,TRIM5
2850224,Actual,ENSG00000132256,isoform1=junction:chr11:5687312-5699433:-|isoform2=junction:chr11:5688942-5699433:-@exon:chr11:5688919-5688941:-@junction:chr11:5687312-5688918:-,,0.113937412,-0.480384461,TRIM5
2850228,Actual,ENSG00000254732,isoform1=junction:chr11:57559146-57563048:+|isoform2=junction:chr11:57559146-57561481:+@exon:chr11:57561482-57561553:+@junction:chr11:57561554-57563048:+,,0.026079858,0.553658179,RP11-691N7.6
2850235,Actual,ENSG00000168003,isoform1=junction:chr11:62639142-62648490:+|isoform2=junction:chr11:62639142-62644255:+@exon:chr11:62644256-62644351:+@junction:chr11:62644352-62648490:+,,0.039069022,0.489835876,SLC3A2
2850236,Actual,ENSG00000184743,isoform1=junction:chr11:63411734-63419407:-|isoform2=junction:chr11:63414036-63419407:-@exon:chr11:63413979-63414035:-@junction:chr11:63411734-63413978:-,,0.117306803,0.5,ATL3
2850238,Actual,ENSG00000149809,isoform1=junction:chr11:64882305-64882785:+|isoform2=junction:chr11:64882305-64882384:+@exon:chr11:64882385-64882553:+@junction:chr11:64882554-64882785:+,,0.021876216,0.626783171,TM7SF2
2850249,Actual,ENSG00000131626,isoform1=junction:chr11:70194527-70200406:+|isoform2=junction:chr11:70194527-70196028:+@exon:chr11:70196029-70196145:+@junction:chr11:70196146-70200406:+,,0.167850656,0.447213596,PPFIA1
2850250,Actual,ENSG00000131626,isoform1=junction:chr11:70194527-70200406:+|isoform2=junction:chr11:70194527-70197099:+@exon:chr11:70197100-70197129:+@junction:chr11:70197130-70200406:+,,0.023856385,0.670820393,PPFIA1
2850258,Actual,ENSG00000087884,isoform1=junction:chr11:77618857-77629866:-|isoform2=junction:chr11:77622199-77629866:-@exon:chr11:77622016-77622198:-@junction:chr11:77618857-77622015:-,,0.114470342,0.441001994,AAMDC
2850266,Actual,ENSG00000165490,isoform1=junction:chr11:82639981-82642773:+|isoform2=junction:chr11:82639981-82641198:+@exon:chr11:82641199-82641316:+@junction:chr11:82641317-82642773:+,,0.033733205,-0.434791507,C11orf82
2850284,Actual,ENSG00000166012,isoform1=junction:chr11:93480615-93486847:+|isoform2=junction:chr11:93480615-93483511:+@exon:chr11:93483512-93483610:+@junction:chr11:93483611-93486847:+,,0.036493339,0.458682472,TAF1D
2850292,Actual,ENSG00000149231,isoform1=junction:chr11:96120778-96123007:-|isoform2=junction:chr11:96121505-96123007:-@novel_exon:chr11:96121422-96121504:-@junction:chr11:96120778-96121421:-,,0.23279441,-0.415199437,CCDC82
2850293,Actual,ENSG00000149231,isoform1=junction:chr11:96120778-96123007:-|isoform2=junction:chr11:96121994-96123007:-@exon:chr11:96121859-96121993:-@junction:chr11:96120778-96121858:-,,0.04776605,-0.606779876,CCDC82
2850298,Actual,ENSG00000185480,isoform1=junction:chr12:102559662-102589728:+|isoform2=junction:chr12:102559662-102576326:+@exon:chr12:102576327-102576405:+@junction:chr12:102576406-102589728:+,,0.006764719,0.665567252,PARPBP
2850306,Actual,ENSG00000204954,isoform1=junction:chr12:104347313-104350408:-@exon:chr12:104347192-104347312:-@junction:chr12:104345409-104347191:-|isoform2=junction:chr12:104348747-104350408:-@exon:chr12:104348653-104348746:-@junction:chr12:104345409-104348652:-,,0.192977583,0.385758375,C12orf73
2850311,Actual,ENSG00000136051,isoform1=junction:chr12:105546230-105551013:+|isoform2=junction:chr12:105546230-105550503:+@exon:chr12:105550504-105550570:+@junction:chr12:105550571-105551013:+,,0.026841584,0.482219748,KIAA1033
2850317,Actual,ENSG00000151148,isoform1=junction:chr12:109898611-109915064:-|isoform2=junction:chr12:109907534-109915064:-@exon:chr12:109907320-109907533:-@junction:chr12:109898611-109907319:-,,0.168937354,-0.405758948,UBE3B
2850320,Actual,ENSG00000139428,isoform1=junction:chr12:109998910-109999224:-|isoform2=junction:chr12:109999135-109999224:-@exon:chr12:109999048-109999134:-@junction:chr12:109998910-109999047:-,,0.087759113,-0.391567101,MMAB
2850322,Actual,ENSG00000204856,isoform1=junction:chr12:110910924-110922882:+|isoform2=junction:chr12:110910924-110914196:+@novel_exon:chr12:110914197-110914290:+@junction:chr12:110914291-110922882:+,,0.061798204,0.395455789,FAM216A
2850323,Actual,ENSG00000111237,isoform1=junction:chr12:110934009-110937339:-|isoform2=junction:chr12:110936665-110937339:-@exon:chr12:110936625-110936664:-@junction:chr12:110934009-110936624:-,,0.02529325,0.696310624,VPS29
2850325,Actual,ENSG00000111215,isoform1=junction:chr12:11199788-11324020:-|isoform2=junction:chr12:11273780-11324020:-@exon:chr12:11273609-11273779:-@junction:chr12:11199788-11273608:-,,0.036244961,0.496147037,PRR4
2850338,Actual,ENSG00000089154,isoform1=junction:chr12:120568558-120569729:-|isoform2=junction:chr12:120569138-120569729:-@exon:chr12:120568989-120569137:-@junction:chr12:120568558-120568988:-,,0.059577082,-0.407793036,GCN1L1
2850357,Actual,ENSG00000081760,isoform1=junction:chr12:125619399-125626637:+|isoform2=junction:chr12:125619399-125621207:+@exon:chr12:125621208-125621410:+@junction:chr12:125621411-125626637:+,,0.206255757,0.393041832,AACS
2850359,Actual,ENSG00000196458,isoform1=junction:chr12:133503749-133509620:-|isoform2=junction:chr12:133509392-133509620:-@exon:chr12:133509299-133509391:-@junction:chr12:133503749-133509298:-,,0.022758351,0.623609565,ZNF605
2850367,Actual,ENSG00000004700,isoform1=junction:chr12:21652550-21654346:-|isoform2=junction:chr12:21654150-21654346:-@exon:chr12:21654104-21654149:-@junction:chr12:21652550-21654103:-,,0.070210211,-0.479941776,RECQL
2850380,Actual,ENSG00000110888,isoform1=junction:chr12:30869611-30876192:-|isoform2=junction:chr12:30872160-30876192:-@exon:chr12:30872013-30872159:-@junction:chr12:30869611-30872012:-,,0.206490757,0.437138085,CAPRIN2
2850382,Actual,ENSG00000110888,isoform1=junction:chr12:30872160-30876192:-|isoform2=junction:chr12:30873850-30876192:-@exon:chr12:30873745-30873849:-@junction:chr12:30872160-30873744:-,,0.114960431,-0.440468936,CAPRIN2
2850389,Actual,ENSG00000139132,isoform1=junction:chr12:32552894-32717070:+|isoform2=junction:chr12:32552894-32709807:+@exon:chr12:32709808-32709929:+@junction:chr12:32709930-32717070:+,,0.005618099,0.67647546,FGD4
2850391,Actual,ENSG00000139131,isoform1=junction:chr12:32890096-32891197:+|isoform2=junction:chr12:32890096-32890798:+@exon:chr12:32890799-32890876:+@junction:chr12:32890877-32891197:+,,0.037701997,0.426452968,YARS2
2850397,Actual,ENSG00000177119,isoform1=junction:chr12:45816846-45822887:+|isoform2=junction:chr12:45816846-45817826:+@novel_exon:chr12:45817827-45817863:+@junction:chr12:45817864-45822887:+,,0.10690754,0.433012702,ANO6
2850409,Actual,ENSG00000129315,isoform1=junction:chr12:49089613-49091920:-|isoform2=junction:chr12:49089946-49091920:-@exon:chr12:49089782-49089945:-@junction:chr12:49089613-49089781:-,,0.086671316,0.45715162,CCNT1
2850410,Actual,ENSG00000181929,isoform1=junction:chr12:49399327-49406844:-|isoform2=junction:chr12:49399636-49406844:-@exon:chr12:49399526-49399635:-@junction:chr12:49399327-49399525:-,,0.137940498,0.40153584,PRKAG1
2850415,Actual,ENSG00000066117,isoform1=junction:chr12:50488356-50492496:+|isoform2=junction:chr12:50488356-50490632:+@exon:chr12:50490633-50490755:+@junction:chr12:50490756-50492496:+,,0.186599607,0.4091517,SMARCD1
2850421,Actual,ENSG00000120647,isoform1=junction:chr12:510851-518533:+@exon:chr12:518534-518587:+@junction:chr12:518588-520912:+|isoform2=junction:chr12:510851-514676:+@exon:chr12:514677-514730:+@junction:chr12:514731-520912:+,,0.117306803,0.5,CCDC77
2850422,Actual,ENSG00000120647,isoform1=junction:chr12:510851-518533:+|isoform2=junction:chr12:510851-514676:+@exon:chr12:514677-514730:+@junction:chr12:514731-518533:+,,0.022008557,0.650443636,CCDC77
2850427,Actual,ENSG00000123349,isoform1=junction:chr12:53689726-53691633:+|isoform2=junction:chr12:53689726-53690213:+@exon:chr12:53690214-53690335:+@junction:chr12:53690336-53691633:+,,0.241160654,0.385869185,PFDN5
2850431,Actual,ENSG00000197111,isoform1=junction:chr12:53861078-53862563:+|isoform2=junction:chr12:53861078-53861588:+@exon:chr12:53861589-53861627:+@junction:chr12:53861628-53862563:+,,0.052917779,0.491952037,PCBP2
2850443,Actual,ENSG00000111652,isoform1=junction:chr12:6833985-6837388:+|isoform2=junction:chr12:6833985-6837091:+@exon:chr12:6837092-6837167:+@junction:chr12:6837168-6837388:+,,0.111045486,-0.463055963,COPS7A
2850449,Actual,ENSG00000173401,isoform1=junction:chr12:75760794-75763864:+|isoform2=junction:chr12:75760794-75763739:+@exon:chr12:75763740-75763766:+@junction:chr12:75763767-75763864:+,,0.001038457,0.82187529,GLIPR1L1
2850458,Actual,ENSG00000139318,isoform1=junction:chr12:89743339-89745416:-|isoform2=junction:chr12:89744803-89745416:-@exon:chr12:89744365-89744802:-@junction:chr12:89743339-89744364:-,,0.091387441,0.435975049,DUSP6
2850460,Actual,ENSG00000173588,isoform1=junction:chr12:94794758-94796945:-|isoform2=junction:chr12:94796111-94796945:-@novel_exon:chr12:94796027-94796110:-@junction:chr12:94794758-94796026:-,,0.134819922,0.404466679,CCDC41
2850462,Actual,ENSG00000120798,isoform1=junction:chr12:95425265-95442843:-|isoform2=junction:chr12:95434374-95442843:-@exon:chr12:95434252-95434373:-@junction:chr12:95425265-95434251:-,,0.097122915,0.42919595,NR2C1
2850464,Actual,ENSG00000120798,isoform1=junction:chr12:95456515-95461106:-|isoform2=junction:chr12:95456664-95461106:-@exon:chr12:95456626-95456663:-@junction:chr12:95456515-95456625:-,,0.102494767,0.397359707,NR2C1
2850465,Actual,ENSG00000180263,isoform1=junction:chr12:95485437-95486474:-@novel_exon:chr12:95485357-95485436:-@junction:chr12:95483473-95485356:-|isoform2=junction:chr12:95485586-95486474:-@exon:chr12:95485483-95485585:-@junction:chr12:95483473-95485482:-,,0.111172953,0.46291005,FGD6
2850467,Actual,ENSG00000028203,isoform1=junction:chr12:95645848-95656681:+|isoform2=junction:chr12:95645848-95650925:+@exon:chr12:95650926-95651015:+@junction:chr12:95651016-95656681:+,,0.075374553,0.396230512,VEZT
2850469,Actual,ENSG00000139350,isoform1=junction:chr12:97301079-97303529:+|isoform2=junction:chr12:97301079-97301381:+@exon:chr12:97301382-97301634:+@junction:chr12:97301635-97303529:+,,0.031775673,0.595465158,NEDD1
2850472,Actual,ENSG00000175198,isoform1=junction:chr13:100888133-100914982:+|isoform2=junction:chr13:100888133-100909848:+@exon:chr13:100909849-100909927:+@junction:chr13:100909928-100914982:+,,0.084362118,0.518200221,PCCA
2850481,Actual,ENSG00000139842,isoform1=junction:chr13:113897475-113898723:+|isoform2=junction:chr13:113897475-113897921:+@novel_exon:chr13:113897922-113897987:+@junction:chr13:113897988-113898723:+,,0.134819922,-0.404466679,CUL4A
2850482,Actual,ENSG00000198176,isoform1=junction:chr13:114240165-114277494:+|isoform2=junction:chr13:114240165-114265310:+@exon:chr13:114265311-114265377:+@junction:chr13:114265378-114277494:+,,0.244128682,0.406181197,TFDP1
2850496,Actual,ENSG00000132952,isoform1=junction:chr13:31192194-31195900:+|isoform2=junction:chr13:31192194-31195209:+@exon:chr13:31195210-31195376:+@junction:chr13:31195377-31195900:+,,0.239272425,-0.387298335,USPL1
2850500,Actual,ENSG00000172915,isoform1=junction:chr13:35738647-35745408:+|isoform2=junction:chr13:35738647-35743123:+@exon:chr13:35743124-35743132:+@junction:chr13:35743133-35745408:+,,0.048639505,-0.43519414,NBEA
2850513,Actual,ENSG00000120685,isoform1=junction:chr13:39591682-39597188:-|isoform2=junction:chr13:39596550-39597188:-@exon:chr13:39596463-39596549:-@junction:chr13:39591682-39596462:-,,0.176339318,-0.439372426,PROSER1
2850520,Actual,ENSG00000253710,isoform1=junction:chr13:52586599-52602454:+|isoform2=junction:chr13:52586599-52598141:+@exon:chr13:52598142-52599073:+@junction:chr13:52599074-52602454:+,,0.000129472,0.866011531,ALG11
2850521,Actual,ENSG00000253797,isoform1=junction:chr13:52586599-52602454:+|isoform2=junction:chr13:52586599-52598141:+@exon:chr13:52598142-52599073:+@junction:chr13:52599074-52602454:+,,0.010082397,-0.682987777,UTP14C
2850522,Actual,ENSG00000253710,isoform1=junction:chr13:52593280-52598141:+|isoform2=junction:chr13:52593280-52597848:+@novel_exon:chr13:52597849-52597915:+@junction:chr13:52597916-52598141:+,,0.001038967,0.723059699,ALG11
2850524,Actual,ENSG00000253710,isoform1=junction:chr13:52593280-52602454:+|isoform2=junction:chr13:52593280-52598141:+@exon:chr13:52598142-52599073:+@junction:chr13:52599074-52602454:+,,0.117306803,0.5,ALG11
2850532,Actual,ENSG00000136160,isoform1=junction:chr13:78474103-78475192:-|isoform2=junction:chr13:78474790-78475192:-@exon:chr13:78474656-78474789:-@junction:chr13:78474103-78474655:-,,0.084362118,0.518200221,EDNRB
2850541,Actual,ENSG00000176473,isoform1=junction:chr14:100828259-100842596:-|isoform2=junction:chr14:100841744-100842596:-@exon:chr14:100841620-100841743:-@junction:chr14:100828259-100841619:-,,0.081193132,-0.500949443,WDR25
2850544,Actual,ENSG00000140105,isoform1=junction:chr14:100835596-100841619:-@exon:chr14:100835424-100835595:-@junction:chr14:100828259-100835423:-|isoform2=junction:chr14:100840582-100841619:-@exon:chr14:100840473-100840581:-@junction:chr14:100828259-100840472:-,,0.021283066,-0.628970902,WARS
2850546,Actual,ENSG00000140105,isoform1=junction:chr14:100835596-100842596:-|isoform2=junction:chr14:100840582-100842596:-@exon:chr14:100840473-100840581:-@junction:chr14:100835596-100840472:-,,0.026453663,-0.462016077,WARS
2850555,Actual,ENSG00000075413,isoform1=junction:chr14:103946828-103969218:+|isoform2=junction:chr14:103946828-103958113:+@exon:chr14:103958114-103958371:+@junction:chr14:103958372-103969218:+,,0.066199405,-0.600854093,MARK3
2850572,Actual,ENSG00000100441,isoform1=junction:chr14:24910133-24911383:-|isoform2=junction:chr14:24911002-24911383:-@exon:chr14:24910880-24911001:-@junction:chr14:24910133-24910879:-,,0.006182443,-0.691240339,KHNYN
2850573,Actual,ENSG00000100445,isoform1=junction:chr14:24910133-24911383:-|isoform2=junction:chr14:24911002-24911383:-@exon:chr14:24910880-24911001:-@junction:chr14:24910133-24910879:-,,0.004468291,0.70967461,SDR39U1
2850574,Actual,ENSG00000100441,isoform1=junction:chr14:24911002-24911551:-|isoform2=junction:chr14:24911467-24911551:-@exon:chr14:24911384-24911466:-@junction:chr14:24911002-24911383:-,,0.06420949,-0.527046277,KHNYN
2850575,Actual,ENSG00000100445,isoform1=junction:chr14:24911002-24911551:-|isoform2=junction:chr14:24911467-24911551:-@exon:chr14:24911384-24911466:-@junction:chr14:24911002-24911383:-,,0.004452286,0.731925055,SDR39U1
2850576,Actual,ENSG00000092148,isoform1=junction:chr14:31597213-31602443:-|isoform2=junction:chr14:31598514-31602443:-@exon:chr14:31597818-31598513:-@junction:chr14:31597213-31597817:-,,0.22286835,0.4,HECTD1
2850588,Actual,ENSG00000258708,isoform1=junction:chr14:37344210-37641485:-|isoform2=junction:chr14:37387122-37641485:-@novel_exon:chr14:37387043-37387121:-@junction:chr14:37344210-37387042:-,,0.022073046,0.626066929,SLC25A21-AS1
2850590,Actual,ENSG00000185246,isoform1=junction:chr14:45565432-45566089:+|isoform2=junction:chr14:45565432-45565626:+@exon:chr14:45565627-45565961:+@junction:chr14:45565962-45566089:+,,0.094868821,-0.482578346,PRPF39
2850592,Actual,ENSG00000129534,isoform1=junction:chr14:45706925-45711963:-|isoform2=junction:chr14:45711722-45711963:-@exon:chr14:45711237-45711721:-@junction:chr14:45706925-45711236:-,,0.121502919,0.522232968,MIS18BP1
2850603,Actual,ENSG00000073712,isoform1=junction:chr14:53327184-53331118:-|isoform2=junction:chr14:53327753-53331118:-@exon:chr14:53327732-53327752:-@junction:chr14:53327184-53327731:-,,0.006135657,-0.442215281,FERMT2
